"ISO3","region"
"AFG","South Asia"
"AGO","Sub-Saharan Africa"
"ALB","Europe & Central Asia"
"ARE","Middle East & North Africa"
"ARG","Latin America & Caribbean"
"ARM","Europe & Central Asia"
"ATA","Antarctica"
"ATF","Sub-Saharan Africa"
"AUS","East Asia & Pacific"
"AUT","Europe & Central Asia"
"AZE","Europe & Central Asia"
"BDI","Sub-Saharan Africa"
"BEL","Europe & Central Asia"
"BEN","Sub-Saharan Africa"
"BFA","Sub-Saharan Africa"
"BGD","South Asia"
"BGR","Europe & Central Asia"
"BHS","Latin America & Caribbean"
"BIH","Europe & Central Asia"
"BLR","Europe & Central Asia"
"BLZ","Latin America & Caribbean"
"BOL","Latin America & Caribbean"
"BRA","Latin America & Caribbean"
"BRN","East Asia & Pacific"
"BTN","South Asia"
"BWA","Sub-Saharan Africa"
"CAF","Sub-Saharan Africa"
"CAN","North America"
"CHE","Europe & Central Asia"
"CHL","Latin America & Caribbean"
"CHN","East Asia & Pacific"
"CIV","Sub-Saharan Africa"
"CMR","Sub-Saharan Africa"
"COD","Sub-Saharan Africa"
"COG","Sub-Saharan Africa"
"COL","Latin America & Caribbean"
"CRI","Latin America & Caribbean"
"CUB","Latin America & Caribbean"
NA,"Europe & Central Asia"
"CYP","Europe & Central Asia"
"CZE","Europe & Central Asia"
"DEU","Europe & Central Asia"
"DJI","Middle East & North Africa"
"DNK","Europe & Central Asia"
"DOM","Latin America & Caribbean"
"DZA","Middle East & North Africa"
"ECU","Latin America & Caribbean"
"EGY","Middle East & North Africa"
"ERI","Sub-Saharan Africa"
"ESP","Europe & Central Asia"
"EST","Europe & Central Asia"
"ETH","Sub-Saharan Africa"
"FIN","Europe & Central Asia"
"FJI","East Asia & Pacific"
"FLK","Latin America & Caribbean"
"FRA","Europe & Central Asia"
"GAB","Sub-Saharan Africa"
"GBR","Europe & Central Asia"
"GEO","Europe & Central Asia"
"GHA","Sub-Saharan Africa"
"GIN","Sub-Saharan Africa"
"GMB","Sub-Saharan Africa"
"GNB","Sub-Saharan Africa"
"GNQ","Sub-Saharan Africa"
"GRC","Europe & Central Asia"
"GRL","Europe & Central Asia"
"GTM","Latin America & Caribbean"
"GUY","Latin America & Caribbean"
"HND","Latin America & Caribbean"
"HRV","Europe & Central Asia"
"HTI","Latin America & Caribbean"
"HUN","Europe & Central Asia"
"IDN","East Asia & Pacific"
"IND","South Asia"
"IRL","Europe & Central Asia"
"IRN","Middle East & North Africa"
"IRQ","Middle East & North Africa"
"ISL","Europe & Central Asia"
"ISR","Middle East & North Africa"
"ITA","Europe & Central Asia"
"JAM","Latin America & Caribbean"
"JOR","Middle East & North Africa"
"JPN","East Asia & Pacific"
"KAZ","Europe & Central Asia"
"KEN","Sub-Saharan Africa"
"KGZ","Europe & Central Asia"
"KHM","East Asia & Pacific"
"KOR","East Asia & Pacific"
NA,"Europe & Central Asia"
"KWT","Middle East & North Africa"
"LAO","East Asia & Pacific"
"LBN","Middle East & North Africa"
"LBR","Sub-Saharan Africa"
"LBY","Middle East & North Africa"
"LKA","South Asia"
"LSO","Sub-Saharan Africa"
"LTU","Europe & Central Asia"
"LUX","Europe & Central Asia"
"LVA","Europe & Central Asia"
"MAR","Middle East & North Africa"
"MDA","Europe & Central Asia"
"MDG","Sub-Saharan Africa"
"MEX","Latin America & Caribbean"
"MKD","Europe & Central Asia"
"MLI","Sub-Saharan Africa"
"MMR","East Asia & Pacific"
"MNE","Europe & Central Asia"
"MNG","East Asia & Pacific"
"MOZ","Sub-Saharan Africa"
"MRT","Sub-Saharan Africa"
"MWI","Sub-Saharan Africa"
"MYS","East Asia & Pacific"
"NAM","Sub-Saharan Africa"
"NCL","East Asia & Pacific"
"NER","Sub-Saharan Africa"
"NGA","Sub-Saharan Africa"
"NIC","Latin America & Caribbean"
"NLD","Europe & Central Asia"
"NOR","Europe & Central Asia"
"NPL","South Asia"
"NZL","East Asia & Pacific"
"OMN","Middle East & North Africa"
"PAK","South Asia"
"PAN","Latin America & Caribbean"
"PER","Latin America & Caribbean"
"PHL","East Asia & Pacific"
"PNG","East Asia & Pacific"
"POL","Europe & Central Asia"
"PRI","Latin America & Caribbean"
"PRK","East Asia & Pacific"
"PRT","Europe & Central Asia"
"PRY","Latin America & Caribbean"
"PSE","Middle East & North Africa"
"QAT","Middle East & North Africa"
"ROU","Europe & Central Asia"
"RUS","Europe & Central Asia"
"RWA","Sub-Saharan Africa"
"ESH","Middle East & North Africa"
"SAU","Middle East & North Africa"
"SDN","Sub-Saharan Africa"
"SSD","Sub-Saharan Africa"
"SEN","Sub-Saharan Africa"
"SLB","East Asia & Pacific"
"SLE","Sub-Saharan Africa"
"SLV","Latin America & Caribbean"
NA,"Sub-Saharan Africa"
"SOM","Sub-Saharan Africa"
"SRB","Europe & Central Asia"
"SUR","Latin America & Caribbean"
"SVK","Europe & Central Asia"
"SVN","Europe & Central Asia"
"SWE","Europe & Central Asia"
"SWZ","Sub-Saharan Africa"
"SYR","Middle East & North Africa"
"TCD","Sub-Saharan Africa"
"TGO","Sub-Saharan Africa"
"THA","East Asia & Pacific"
"TJK","Europe & Central Asia"
"TKM","Europe & Central Asia"
"TLS","East Asia & Pacific"
"TTO","Latin America & Caribbean"
"TUN","Middle East & North Africa"
"TUR","Europe & Central Asia"
"TWN","East Asia & Pacific"
"TZA","Sub-Saharan Africa"
"UGA","Sub-Saharan Africa"
"UKR","Europe & Central Asia"
"URY","Latin America & Caribbean"
"USA","North America"
"UZB","Europe & Central Asia"
"VEN","Latin America & Caribbean"
"VNM","East Asia & Pacific"
"VUT","East Asia & Pacific"
"YEM","Middle East & North Africa"
"ZAF","Sub-Saharan Africa"
"ZMB","Sub-Saharan Africa"
"ZWE","Sub-Saharan Africa"
"BHR","Middle East & North Africa"
"BRB","Latin America & Caribbean"
"COM","Sub-Saharan Africa"
"CPV","Sub-Saharan Africa"
"MLT","Europe & Central Asia"
"MUS","Sub-Saharan Africa"
"SGP","East Asia & Pacific"
"STP","Sub-Saharan Africa"
"TON","East Asia & Pacific"
"VCT","Latin America & Caribbean"
"WSM","East Asia & Pacific"
